numero,Vastaaja,Yliopisto/tutkimuslaitos,Vastaus,Varmuus,Kommentti,Profiili ja vastaukset
12,Petri Rouvinen,"ETLA, Elinkeinoelämän tutkimuslaitos",Samaa mieltä,7,"“Suomen mallin“ perusominaisuutena EI mielestäni ole mahdollisimman tasainen tulonjako, vaan heikoimmassa asemassa olevista huolehtiminen. Niinpä EN sinänsä näe ongelmallisena sitä, että tuloerot kasvavat hyväosaisten osuuden kasvamisen kautta.Näytä lisääNäytä vähemmän",Profiili ja vastaukset
12,Olli-Pekka Ruuskanen,Pellervon taloustutkimus,Vahvasti samaa mieltä,7,,Profiili ja vastaukset
12,Hannu Salonen,Turun yliopisto,Samaa mieltä,6,,Profiili ja vastaukset
12,Rune Stenbacka,Svenska handelshögskolan,Eri mieltä,7,,Profiili ja vastaukset
12,Olli Tahvonen,Helsingin yliopisto,Ei vastannut,NA,,Profiili ja vastaukset
12,Juha Tervala,Helsingin yliopisto,Eri mieltä,6,,Profiili ja vastaukset
12,Marko Terviö,Aalto-yliopisto,Eri mieltä,4,"Talouskasvun ja tulonjaon yhteys on klassinen huono kysymys. 

Talouskasvu ja tulojakauman tasaisuus ovat molemmat aggregaattilukuja, joilla ei ole suoraa kausaalivaikutusta toisiinsa. On paljon tekijöitä (politiikkatoimenpiteitä, teknologian muutoksia, ym) jotka vaikuttavat niistä molempiin, joko samaan tai eri suuntaan – kaikkia neljää komboa löytyy. 
Näytä lisääNäytä vähemmän",Profiili ja vastaukset
12,Roope Uusitalo,Jyväskylän yliopiston kauppakorkeakoulu,Vahvasti eri mieltä,8,"Tuloeroilla vaikutusta talouskasvuun mm. koulutusmahdollisuuksien vuoksi. Suomessa ilmainen koulutus, mailman pienimmät tuloerot ja aika vähän näyttöä tällaisesta mekanismista. 

Ja tästä riippumatta tuloerojen kasvu heikentää hyvinvointia useiden mittareiden mukaan.Näytä lisääNäytä vähemmän",Profiili ja vastaukset
12,Jari Vainiomäki,Tampereen yliopisto,Samaa mieltä,8,,Profiili ja vastaukset
12,Hannu Vartiainen,Helsingin yliopisto,Eri mieltä,NA,,Profiili ja vastaukset
12,Vesa Vihriälä,Etla,Eri mieltä,9,"Tutkimustulokset tuloerojena ja kasvun välisestä yhteydestä eivät ole yksiselitteisiä; korkeaan tulotason maiden joukossa on sekä korkeiden tuloerojen että pienten tuloerojen maita. Luultavimmin vaikutus on hyvin epälineaarinen.

Ilman tuloeroja on mahdotonta saada aikaan työllistymisen ja tehokkuuden vaatimia aineellisia kannustimia. Toisaalta suuret tuloerot voivat johtaa useisiin talouden kasvua heikentäviin ilmiöihin. Näitä ovat pienituloisten kyvyttömyys hankkia tarpeellista koulutusta, ajan ja henkisten voimavarojen haaskaus “päivästä toiseen selviämiseen“, erilaiset sosiaaliset ja terveysongelmat sekä luottamuksen rapautuminen yhteiskunnassa. 

Kun Suomen tuloerot ovat kansainvälisesti hyvin pieniä, marginaalilla sellainen tuloerojen kasvu, joka palkitsee työmarkkinoille osallistumista, ponnistelua ja riskinottoa tukee pikemminkin kuin heikentää kasvua. Sen sijaan tuloerojen kasvu, joka syntyy esimerkiksi kilpailun puutteesta, on haitaksi.Näytä lisääNäytä vähemmän",Profiili ja vastaukset
12,Jouko Vilmunen,Turun yliopisto/kauppakorkeakoulu,Eri mieltä,8,"Tiedämme tästä problematiikasta aivan liian vähän. Miten tuloerot kasvavat? Palkkatulot kyllä kasvavat, mutta rikkaan x %:n tulot kasvavat nopeammin? Vai? Tuottavat, talouskasvun kannaalta kriittisen innovaatiot tekevät keksijänsä (super)rikkaaksi, mutta toisaalta luovat talouskasvua ja mahdollisesti luovat myös työpaikkoja. NB! Defending the 1% by Greg MankiwNäytä lisääNäytä vähemmän",Profiili ja vastaukset
12,Sami Vähämaa,Vaasan yliopisto,Eri mieltä,6,,Profiili ja vastaukset
12,Juuso Välimäki,Aalto yliopiston kauppakorkeakoulu,Ei mielipidettä,NA,,Profiili ja vastaukset
12,Eva Österbacka,Åbo Akademi,Samaa mieltä,7,,Profiili ja vastaukset
13,Tom Berglund,Hanken,Vahvasti eri mieltä,9,Kysymys huonosti muotoiltu. Jos kysytään valinnanvapausmallin  haitoista ja hyödyistä niin hyödyt monien palvelujen (ei kaikkien) kohdalla suuremmat.,Profiili ja vastaukset
13,Petri Böckerman,Turun kauppakorkeakoulu / Palkansaajien tutkimuslaitos,Samaa mieltä,6,,Profiili ja vastaukset
13,Essi Eerola,VATT,Epävarma,5,,Profiili ja vastaukset
13,Bengt Holmström,MIT,Epävarma,NA,,Profiili ja vastaukset
13,Anni Huhtala,VATT,Ei mielipidettä,NA,,Profiili ja vastaukset
13,Ari Hyytinen,Jyväskylän yliopiston kauppakorkeakoulu,Ei mielipidettä,10,,Profiili ja vastaukset
13,Esa Jokivuolle,Suomen Pankki,Epävarma,5,,Profiili ja vastaukset
13,Juha Junttila,Jyvaskylan yliopisto,Samaa mieltä,9,,Profiili ja vastaukset
13,John M. Juselius,Suomen Pankki,Epävarma,2,,Profiili ja vastaukset
13,Markus Jäntti,Tukholman yliopisto,Samaa mieltä,9,"Kysymys lähtee siitä, että valinnanvapaudesa koituu positiivisia hyötyjä. Itse en pidä sitä kovin todennäköisenä. Vaikka jokin 'valinnanvapauden' (joka ei ole kovin tarkasti määritelty taloustieteen termi) toteuttamismuoto tuottaisi nykytilaan nähden 'hyötyjä' (joka sekään ei ole hyvin määritelty termi), ilman että tiedossa on mitä sillä tarkoitetaan kysymykseen on lähes mahdoton vastata. Uskon kuitenkin, että kannusteongelmat ovat erittäin isoja, joten pienikin hyöty jäisi selvästi niiden alle.Näytä lisääNäytä vähemmän",Profiili ja vastaukset
13,Panu Kalmi,Vaasan yliopisto,Ei mielipidettä,NA,,Profiili ja vastaukset
13,Seppo Kari,VATT,Epävarma,10,,Profiili ja vastaukset
13,Karlo Kauko,Suomen Pankki,Ei mielipidettä,NA,,Profiili ja vastaukset
13,Jaakko Kiander,,Epävarma,NA,Tästä ei ole vielä kovin hyviä vaikutusarvioita,Profiili ja vastaukset
13,Juha Kilponen,,Epävarma,10,,Profiili ja vastaukset
13,Iikka Korhonen,Suomen Pankki,Ei mielipidettä,6,,Profiili ja vastaukset
13,Pekka J. Korhonen,,Vahvasti eri mieltä,7,"Kaikki riippuu siitä, miten valinnanvapausmalli toteutetaan. Suoriteperusteinen osuus mallissa pitäisi olla suurempi. Maakuntien maksut palvelujen tuottajille pitäisi perustua tuottajien tehokkuuteen (laajasti ymmärrettynä).",Profiili ja vastaukset
13,Mika Kortelainen,Valtion taloudellinen tutkimuskeskus,Eri mieltä,8,,Profiili ja vastaukset
13,Tuomas Kosonen,Palkansaajien tutkimuslaitos,Ei vastannut,NA,,Profiili ja vastaukset
13,Kaisa Kotakorpi,VATT; Turun yliopisto,Vahvasti samaa mieltä,9,"Vastaus viittaa edelliseen lakiluonnokseen. Terveyskeskuksia ei tulisi samalle alueelle montaa; kilpailun edellytykset ovat huonot. Kun asiakasmaksut olisivat kaikkialla samat, kilpailtaisiin laadulla. Laatua on vaikea havaita mikä myös heikentää kilpailun edellytyksiä. Kustannuksia olisi vaikea hallita: Jos palveluntuottajien korvaukset perustuvat annettuun hoitoon, kannusteita hillitä kustannuksia ei ole. Jos korvaukset perustuvat asiakkaiden määrään, on kannusteet hillitä kustannuksia kunkin asiakkaan kohdalla. Mutta houkutellakseen lisää asiakkaita, palveluntuottaja voi esim. määrätä erikoissairaanhoidon toimenpiteitä, jolloin syntyy mielikuva hyvästä hoidosta, vaikka hoidot eivät olisi tarpeellisia. 
Terveydenhoitomarkkinoiden avaaminen kilpailulle ei takaa tehokasta kilpailua, vaan vaatii monimutkaista sääntelyä. Kustannukset voivat nousta ja laatu voi kärsiä – hoitoa voidaan tarjota liian vähän tai liikaa. Julkisen ja yksityisen sektorin työnjako on myös tärkeä kysymys.Näytä lisääNäytä vähemmän",Profiili ja vastaukset
13,Markku Kotilainen,Elinkeinoelämän tutkimuslaitos - Etla,Epävarma,4,Jää nähtäväksi ja riippuu mallista. Nythän se on auki.,Profiili ja vastaukset
13,Klaus Kultti,helsingin yliopisto,Ei mielipidettä,10,,Profiili ja vastaukset
13,Timo Kuosmanen,Aalto yliopiston kauppakorkeakoulu,Epävarma,3,,Profiili ja vastaukset
13,Tomi Kyyrä,Valtion taloudellinen tutkimuskeskus,Ei mielipidettä,5,,Profiili ja vastaukset
13,Marita Laukkanen,Valtion taloudellinen tutkimuskeskus,Ei mielipidettä,9,,Profiili ja vastaukset
13,Mika Maliranta,Etla / Jyväskylän yliopisto,Samaa mieltä,2,,Profiili ja vastaukset
13,Topi Miettinen,Svenska Handelshögskolan,Samaa mieltä,4,"Terveydenhuoltomarkkinoilla informaatio on hyvin epäsymmetrista. Tämä on omiaan johtamaan tehottomuuteen, kuten Bengt Holmströmin tutkimuksistakin käy hyvin ilmi.  Lisäksi moni palvelu ja hyödyke saattaa olla jopa ns. credence good tyyppiä, jossa asiakas ei edes palvelun ostettuaan voi millään tietää, oliko palvelu tai tuote olennaisilta osiltaan laadukas. Asiakkaat päätyvät valitsemaan tuottajan vastaantuloaulan tapettien värin ja taustamusiikin nojalla, kun valinta pitäsi tehdä diagnoosien osuvuuden ja hoidon tehokkuuden nojalla, jonka arvioimiseen asiakkaan asiantuntemus ei riitä. Esimerkiksi katujen aurauksen tai jopa lasten päivähoidon osalta informaation epäsymmetriaan liittyvät ongelmat vaikuttavat paljon pienemmiltä kuin terveydenhuollossa. Toki tehokkuushaasteet terveydenhuollossa ovat suuria myös julkisesti tuotetussa terveydenhuollossa, mutta kilpailun hyödyt ovat tällä alalla epäselvempiä kuin monilla muilla.Näytä lisääNäytä vähemmän",Profiili ja vastaukset
13,Niku Määttänen,Etla,Epävarma,5,,Profiili ja vastaukset
13,Katariina Nilsson Hakkala,Aalto yliopisto/ ETLA,Vahvasti eri mieltä,8,,Profiili ja vastaukset
13,Elias Oikarinen,Aalto-yliopisto,Epävarma,5,,Profiili ja vastaukset
13,Tapio Palokangas,Helsingin yliopisto,Epävarma,NA,"Koko SOTE-hanke on äärimmäisen epävarmalla pohjalla, jotta siitä voitaisiin tehdä mitään järkeviä ennusteita.",Profiili ja vastaukset
13,Tuomas Pekkarinen,VATT,Vahvasti samaa mieltä,NA,,Profiili ja vastaukset
13,Hannu Piekkola,Vaasan yliopisto,Epävarma,7,"Eikö uudistuksessa pyrite kannustavuuteen, todellisuus voi tietysti olla toinen.",Profiili ja vastaukset
13,Jukka Pirttilä,Tampereen yliopisto,Ei mielipidettä,NA,,Profiili ja vastaukset
13,Matti Pohjola,Aalto-yliopisto kauppakorkeakoulu,Ei mielipidettä,7,,Profiili ja vastaukset
13,Petri Rouvinen,"ETLA, Elinkeinoelämän tutkimuslaitos",Epävarma,6,"Kansalaisten silmissä valinnanvapaudessa on käsittääkseni eniten kyse hoitoon pääsystä eikä niinkään siitä, missä ja kenen toimesta hoitoa tarjotaan. Valinnanvapaus kuulostaa siis houkuttelevalta erityisesti siksi, että kansalaiset laskevat pääsevänsä hoitoon heti niin halutessaan. Vaikeasti ratkaistavia kannustinongelmia syntyy tarjonta- ja kysyntäpuolella. Lisäksi valinnanvapaus pikemminkin nostaa kuin laskee kokonaiskustannuksia.Näytä lisääNäytä vähemmän",Profiili ja vastaukset
13,Olli-Pekka Ruuskanen,Pellervon taloustutkimus,Epävarma,5,,Profiili ja vastaukset
13,Hannu Salonen,Turun yliopisto,Samaa mieltä,5,"Mikäli kannusteongelmilla viitataan siihen että määrätäänkö liikaa hoitoa tai tarpeetonta hoitoa ja jäävätkö vaikeat tapaukset hoidon ulkopuolelle, niin ehkä tällaistakin ongelmaa tulee olemaan. Toisaalta en tiedä paljonko valinnanvapaus oikeastaan lisääntyy nykytilaan verrattuna. Minusta valinnanvapautta on jo nyt riittävästi.Näytä lisääNäytä vähemmän",Profiili ja vastaukset
13,Rune Stenbacka,Svenska handelshögskolan,Eri mieltä,7,,Profiili ja vastaukset
13,Olli Tahvonen,Helsingin yliopisto,Samaa mieltä,NA,,Profiili ja vastaukset
13,Juha Tervala,Helsingin yliopisto,Samaa mieltä,3,,Profiili ja vastaukset
13,Marko Terviö,Aalto-yliopisto,Vahvasti samaa mieltä,7,,Profiili ja vastaukset
13,Roope Uusitalo,Jyväskylän yliopiston kauppakorkeakoulu,Ei mielipidettä,2,Hankala juttu. En ole (vielä) kerinnyt tarpeeksi perehtyä.,Profiili ja vastaukset
13,Jari Vainiomäki,Tampereen yliopisto,Ei mielipidettä,1,,Profiili ja vastaukset
13,Hannu Vartiainen,Helsingin yliopisto,Samaa mieltä,NA,,Profiili ja vastaukset
13,Vesa Vihriälä,Etla,Epävarma,7,"Kansalaisten valinnanvapauden lisääminen terveys- ja sosiaalipalveluiden käytössä on lähtökohtaisesti hyvä asia, koska vaihtoehdot sinänsä lisäävät hyvinvointia ja valinnanvapauden pakottama kilpailu on omiaan tehostamaan tuotantoa ja parantamaan palveluiden laatua.

Potentiaaliset ongelmat liittyvät yhtäältä siihen, että toimijoiden kannusteita ei pystytä määrittämään järkevällä tavalla ja toisaalta kilpailun vähäisyyteen. Ensinmainitun osalta ns. kapitaatiomaksun määrittäminen asiakkaiden/potilaiden ominaisuuksia vastaavaksi on avainkysymys.

Näistä syistä ei voi olla varma lopputuloksesta, varsinkin kun monet avainkysymykset ovat vielä auki. Ruotsin kokemukset valinnanvapauden tuomisesta terveyspalveluihin tukee käsitystä palveluiden laadun ja saatavuuden paranemisesta. Sen sijaan kustannussäästöjä ei ilmeisesti ole saatu.
 Näytä lisääNäytä vähemmän",Profiili ja vastaukset
13,Jouko Vilmunen,Turun yliopisto/kauppakorkeakoulu,Epävarma,NA,,Profiili ja vastaukset
13,Sami Vähämaa,Vaasan yliopisto,Samaa mieltä,4,,Profiili ja vastaukset
13,Juuso Välimäki,Aalto yliopiston kauppakorkeakoulu,Vahvasti samaa mieltä,9,,Profiili ja vastaukset
13,Eva Österbacka,Åbo Akademi,Samaa mieltä,7,,Profiili ja vastaukset
14,Tom Berglund,Hanken,Eri mieltä,7,Velkaisuusasteen nopeampi kasvu lyhyellä aikavälillä olisi lisännyt varovaisuutta muiden investointien osalta.,Profiili ja vastaukset
14,Petri Böckerman,Turun kauppakorkeakoulu / Palkansaajien tutkimuslaitos,Epävarma,5,,Profiili ja vastaukset
14,Essi Eerola,VATT,Ei mielipidettä,NA,,Profiili ja vastaukset
14,Bengt Holmström,MIT,Eri mieltä,NA,,Profiili ja vastaukset
14,Anni Huhtala,VATT,Eri mieltä,6,,Profiili ja vastaukset
14,Ari Hyytinen,Jyväskylän yliopiston kauppakorkeakoulu,Eri mieltä,7,,Profiili ja vastaukset
14,Esa Jokivuolle,Suomen Pankki,Eri mieltä,6,,Profiili ja vastaukset
14,Juha Junttila,Jyvaskylan yliopisto,Vahvasti samaa mieltä,9,,Profiili ja vastaukset
14,John M. Juselius,Suomen Pankki,Vahvasti eri mieltä,8,,Profiili ja vastaukset
14,Markus Jäntti,Tukholman yliopisto,Samaa mieltä,7,Uskon Pertti Haaparannan hystereesipohjaisen analyysin olleen oikeassa ja siten olen samaa mieltä.,Profiili ja vastaukset
14,Panu Kalmi,Vaasan yliopisto,Epävarma,NA,,Profiili ja vastaukset
14,Seppo Kari,VATT,Epävarma,9,Ei ole mahdotonta että näin olisi käynyt. Viimeisten tutkimusten mukaan finanssipoliittisella elvytyksellä voi tietyissä tilanteissa olla iso vaikutus bkt:hen. Toisaalta suomi on pieni avotalous ja elvytys vaikuttaa vain osaan bkt:n komponenteista. Näytä lisääNäytä vähemmän,Profiili ja vastaukset
14,Karlo Kauko,Suomen Pankki,Eri mieltä,NA,Vaikea uskoa noin voimakkaisiin dynaamisiin vaikutuksiin.,Profiili ja vastaukset
14,Jaakko Kiander,,Eri mieltä,7,Velkasuhteen nousu olisi kuitenkin jäänyt vähäiseksi,Profiili ja vastaukset
14,Juha Kilponen,,Vahvasti eri mieltä,8,,Profiili ja vastaukset
14,Iikka Korhonen,Suomen Pankki,Ei mielipidettä,6,,Profiili ja vastaukset
14,Pekka J. Korhonen,,Eri mieltä,6,,Profiili ja vastaukset
14,Mika Kortelainen,Valtion taloudellinen tutkimuskeskus,Ei mielipidettä,NA,,Profiili ja vastaukset
14,Tuomas Kosonen,Palkansaajien tutkimuslaitos,Eri mieltä,7,"En usko että elvytysvaikutukset ovat niin suuria, että ne kompensoisivat suorat vaikutukset budjettivajeeseen.",Profiili ja vastaukset
14,Kaisa Kotakorpi,VATT; Turun yliopisto,Eri mieltä,NA,,Profiili ja vastaukset
14,Markku Kotilainen,Elinkeinoelämän tutkimuslaitos - Etla,Eri mieltä,9,Elvytysvaikutus olisi ollut liian pieni.,Profiili ja vastaukset
14,Klaus Kultti,helsingin yliopisto,Ei mielipidettä,10,,Profiili ja vastaukset
14,Timo Kuosmanen,Aalto yliopiston kauppakorkeakoulu,Eri mieltä,10,"Olisin kaivannut voimakkaampaa elvytystä vaikka valtion velka suhteessa BKT:hen olisi sen myötä kasvanut nykyistä suuremmaksi,",Profiili ja vastaukset
14,Tomi Kyyrä,Valtion taloudellinen tutkimuskeskus,Vahvasti eri mieltä,8,,Profiili ja vastaukset
14,Marita Laukkanen,Valtion taloudellinen tutkimuskeskus,Ei mielipidettä,9,,Profiili ja vastaukset
14,Mika Maliranta,Etla / Jyväskylän yliopisto,Vahvasti eri mieltä,5,,Profiili ja vastaukset
14,Topi Miettinen,Svenska Handelshögskolan,Ei mielipidettä,NA,,Profiili ja vastaukset
14,Niku Määttänen,Etla,Vahvasti eri mieltä,9,Suomessa tuotanto laski suurelta osin vientiteollisuuden ongelmien vuoksi. Voimakkaampi kotimainen elvytys ei olisi vientiteollisuutta juuri auttanut. Suurempi elvytyspolitiikka olisi päinvastoin saattanut hidastaa kustannuskilpailukyvyn kohentumista. Sen sijaan voimakkaampi elvytys esimerkiksi koko euroalueella olisi ollut Suomenkin kannalta hyödyllistä.  Näytä lisääNäytä vähemmän,Profiili ja vastaukset
14,Katariina Nilsson Hakkala,Aalto yliopisto/ ETLA,Epävarma,5,,Profiili ja vastaukset
14,Elias Oikarinen,Aalto-yliopisto,Vahvasti eri mieltä,8,,Profiili ja vastaukset
14,Tapio Palokangas,Helsingin yliopisto,Eri mieltä,NA,"Jos valtion menoja lisätään tai tuloja karsitaan, valtio velkaantuu. Mikään “elvytysvaikutus“ ei pysty tätä täysin korvaamaan.",Profiili ja vastaukset
14,Tuomas Pekkarinen,VATT,Eri mieltä,NA,,Profiili ja vastaukset
14,Hannu Piekkola,Vaasan yliopisto,Eri mieltä,7,Automaattista elvytystä on ollut avian liikaan ikärakenneongelmien takia.,Profiili ja vastaukset
14,Jukka Pirttilä,Tampereen yliopisto,Eri mieltä,4,Yritimme pohtia tätä Arviointineuvoston raportissa 2017.,Profiili ja vastaukset
14,Matti Pohjola,Aalto-yliopisto kauppakorkeakoulu,Eri mieltä,8,Elvytyksen kerroinvaikutukset ovat tähän liian pieniä.,Profiili ja vastaukset
14,Petri Rouvinen,"ETLA, Elinkeinoelämän tutkimuslaitos",Eri mieltä,8,Jonkin verran elvyttävämpi finanssipolitiikka ainakin lähinnä oman tontin eli tiede- ja innovaatiopolitiikan osalta olisi ollut paikallaan (ts. en pidä hallituksen toteuttamia leikkauksia tällä puolella järkevinä) mutta yleisesti ottaen olen samaa mieltä vuoden 2008 jälkeisen finanssipolitikan perusvirityksestä.Näytä lisääNäytä vähemmän,Profiili ja vastaukset
14,Olli-Pekka Ruuskanen,Pellervon taloustutkimus,Vahvasti eri mieltä,6,,Profiili ja vastaukset
14,Hannu Salonen,Turun yliopisto,Ei mielipidettä,6,,Profiili ja vastaukset
14,Rune Stenbacka,Svenska handelshögskolan,Epävarma,3,Paljolti kiinni siitä miten elvytys olisi kohdistettu.,Profiili ja vastaukset
14,Olli Tahvonen,Helsingin yliopisto,Ei vastannut,NA,,Profiili ja vastaukset
14,Juha Tervala,Helsingin yliopisto,Vahvasti samaa mieltä,9,"Finanssipoliittinen elvytys ei normaalisti laske julkisen velan suhdetta BKT:hen. Uudet tutkimukset (esim. NBER WP No. 23789: Fiscal Stimulus and Fiscal Sustainability) ovat kuitenkin osoittaneet, että taantumassa tehdyt julkiset talouden leikkaustoimet ovat lisänneet julkisen velan suhdetta BKT:hen.Näytä lisääNäytä vähemmän",Profiili ja vastaukset
14,Marko Terviö,Aalto-yliopisto,Epävarma,5,"Jos kaikki EU-maat, mukaanlukien Suomi, olisivat edellisen kriisin aikana harjoittaneet kevyempää finanssipolitiikkaa niin Suomenkin velkasuhde olisi nyt luultavasti alempi (varmuus 7/10). Mutta Suomen yksinäinen elvytys valuu suureksi osaksi muualle.Näytä lisääNäytä vähemmän",Profiili ja vastaukset
14,Roope Uusitalo,Jyväskylän yliopiston kauppakorkeakoulu,Eri mieltä,9,,Profiili ja vastaukset
14,Jari Vainiomäki,Tampereen yliopisto,Samaa mieltä,8,"Erityisesti jos elvytys olisi toteutettu koko EU alueella niissä maissa joissa valtionlainojen korot pysyivät matalina, sen sijaan että kyseiset maat siirtyivät kuristuspolitiikkaan. Yksittäisen pienen avoimen maan erillistoimilla saavutetaan pienempiä vaikutuksia.
Näytä lisääNäytä vähemmän",Profiili ja vastaukset
14,Hannu Vartiainen,Helsingin yliopisto,Eri mieltä,NA,,Profiili ja vastaukset
14,Vesa Vihriälä,Etla,Eri mieltä,8,"Lisäelvytys tuskin olisi yltänyt velkasuhteen alentumiseen riittäviin kerroinvaikutuksiin, kun otetaan huomioon, että sekä kulutuskysynnän että investointien kasvusta merkittävä osa olisi tyydyttynyt ulkomaisella tarjonnalla.

Ekspansiivisempi finanssipolitiikka olisi luultavasti entisestään hidastanut kilpailukyvyn sopeutumista. Tämä olisi ollut ongelmallista (myös velkasuhteen pidemmän ajan kehityksen kannalta) tilanteessa, jossa vienti ja tuotannolliset investoinnit ovat romahtanete pahoin samalla kun yksityinen ja julkinen kulutus on kasvanut velkarahoituksen turvin.

Suomen finanssipolitiikka on koko periodilla 2009-2016 ollut yksi EU:n elvyttävimpiä ellei elvyttävin. Tämän seurauksena yksityinen ja julkinen kulutus ovat kasvaneet selvästi, vaikka tuotanto on pysynyt 2008 saavutun tason alapuolella heikon vienti- ja investointikehityksen takia. Näytä lisääNäytä vähemmän",Profiili ja vastaukset
14,Jouko Vilmunen,Turun yliopisto/kauppakorkeakoulu,Eri mieltä,8,"Tekijät, jotka ovat julkistalouden alijäämäisyyden taustalla ovat vieläkin suht epäselviä. Alijäämäisyys näyttää hyvin itsepintaiselta. Tällaisessa tapauksessa aktiivine elvyttäminen ei mielestäni ole suotavaa. Lisäksi, kerroinvaikutusten suuruudesta vallitsee lievästi sanoen erimielisyys.Näytä lisääNäytä vähemmän",Profiili ja vastaukset
14,Sami Vähämaa,Vaasan yliopisto,Eri mieltä,5,,Profiili ja vastaukset
14,Juuso Välimäki,Aalto yliopiston kauppakorkeakoulu,Eri mieltä,8,,Profiili ja vastaukset
14,Eva Österbacka,Åbo Akademi,Epävarma,6,,Profiili ja vastaukset
15,Tom Berglund,Hanken,Vahvasti samaa mieltä,10,Valtion suora omistus luo vaikeasti hallittavia intressiristiriitoja omistajaroolin ja säätelijäroolin välillä. Kuin tuomari itse osallistuisi peliin.,Profiili ja vastaukset
15,Petri Böckerman,Turun kauppakorkeakoulu / Palkansaajien tutkimuslaitos,Eri mieltä,7,,Profiili ja vastaukset
15,Essi Eerola,VATT,Ei mielipidettä,NA,,Profiili ja vastaukset
15,Bengt Holmström,MIT,Samaa mieltä,NA,"Turhaa valtionomistusta on, mutta on myos valtionyrityksia jotka voidaan perustella strategisten tai laajempien intressien nakokulmasta. On luonnollista tasta syysta etta valtionomistuksessa oleva yritys ei ole yhta tehokas voittomielessa kun yksityinen. Näytä lisääNäytä vähemmän",Profiili ja vastaukset
15,Anni Huhtala,VATT,Samaa mieltä,7,,Profiili ja vastaukset
15,Ari Hyytinen,Jyväskylän yliopiston kauppakorkeakoulu,Samaa mieltä,8,,Profiili ja vastaukset
15,Esa Jokivuolle,Suomen Pankki,Samaa mieltä,6,,Profiili ja vastaukset
15,Juha Junttila,Jyvaskylan yliopisto,Eri mieltä,7,,Profiili ja vastaukset
15,John M. Juselius,Suomen Pankki,Samaa mieltä,6,But it depends on the price and I would endorse it only when the fiscal balance is zero or positive to ensure the money isn’t used to postpone reforms that would restore fiscal sustainability.,Profiili ja vastaukset
15,Markus Jäntti,Tukholman yliopisto,Eri mieltä,NA,"Kysymyksen premissi ei minusta oikea. Valtionyhtiöt voi toki myydä poliittisista, ml. elinkeinopoliittisista syistä.",Profiili ja vastaukset
15,Panu Kalmi,Vaasan yliopisto,Samaa mieltä,NA,"Yleisesti ottaen valtionyhtiöiden omistusohjaus Suomessa on ollut luvattoman heikkoa. Kilpailluilla markkinoilla toimivien yritysten valtionomistus ei ole kovin perusteltua, mutta toisaalta ei niitä en paljoa olekaan. Joillain aloilla valtionomistus on perusteltua. Rataliikenteen kilpailutukseen suhtaudun epäillen.Näytä lisääNäytä vähemmän",Profiili ja vastaukset
15,Seppo Kari,VATT,Samaa mieltä,8,,Profiili ja vastaukset
15,Karlo Kauko,Suomen Pankki,Eri mieltä,4,,Profiili ja vastaukset
15,Jaakko Kiander,,Eri mieltä,7,Nykyinen korkotaso ei motivoi hyviä osinkoja maksavien omistusten myyntiä,Profiili ja vastaukset
15,Juha Kilponen,,Samaa mieltä,6,,Profiili ja vastaukset
15,Iikka Korhonen,Suomen Pankki,Samaa mieltä,6,,Profiili ja vastaukset
15,Pekka J. Korhonen,,Vahvasti eri mieltä,7,,Profiili ja vastaukset
15,Mika Kortelainen,Valtion taloudellinen tutkimuskeskus,Eri mieltä,6,,Profiili ja vastaukset
15,Tuomas Kosonen,Palkansaajien tutkimuslaitos,Ei vastannut,NA,,Profiili ja vastaukset
15,Kaisa Kotakorpi,VATT; Turun yliopisto,Eri mieltä,NA,Tällaista kategorista linjausta ei voi tehdä.,Profiili ja vastaukset
15,Markku Kotilainen,Elinkeinoelämän tutkimuslaitos - Etla,Samaa mieltä,9,Strategisesti tärkeitä yriyksiä on olemassa. Rajaus on veteen piirretty viiva.,Profiili ja vastaukset
15,Klaus Kultti,helsingin yliopisto,Vahvasti samaa mieltä,9,,Profiili ja vastaukset
15,Timo Kuosmanen,Aalto yliopiston kauppakorkeakoulu,Eri mieltä,8,"Yritysten omistaminen ei ole valtion keskeisin tehtävä, mutta valtio voi mielestäni olla aktiivinen toimija mahdollisten markkinavääristymien korjaamisessa. Historiallisesti valtionyhtiöillä on ollut tärkeä rooli Suomen talouden kehityksessä. Mitä tulee väitteeseen, sen logiikka ontuu mielestäni pahasti. Vastaavalla tavoin voisi esittää, että koska yksityiset piensijoittajat eivät voi jatkuvasti pärjätä ammattimaisia salkunhoitajia paremmin, tulisi kotitalouksien myydä kaikki osakesijoituksensa. Näytä lisääNäytä vähemmän",Profiili ja vastaukset
15,Tomi Kyyrä,Valtion taloudellinen tutkimuskeskus,Samaa mieltä,7,,Profiili ja vastaukset
15,Marita Laukkanen,Valtion taloudellinen tutkimuskeskus,Vahvasti samaa mieltä,8,,Profiili ja vastaukset
15,Mika Maliranta,Etla / Jyväskylän yliopisto,Vahvasti samaa mieltä,7,,Profiili ja vastaukset
